day: day of measurement,,,,,,,,,
month: month of measurement,,,,,,,,,
year: year of measurement,,,,,,,,,
station: location of measurement     ,,,,,,,,,
"maxtp: Maximum Air Temperature (C)	  ",,,,,,,,,
mintp: Minimum  Air Temperature (C),,,,,,,,,
rain: Precipitation Amount (mm),,,,,,,,,
wdsp: Mean Wind Speed (knot),,,,,,,,,
hg: Highest Gust (knot),,,,,,,,,
sun: Sunshine duration (hours),,,,,,,,,
,,,,,,,,,
day,month,year,station,maxtp,mintp,rain,wdsp,hg,sun
19,jun,2018,Dublin Airport,23.2,9.5,0,11.9,31,3.4
20,jun,2018,Dublin Airport,17.7,8.4,0.2,13.6,32,2.3
21,jun,2018,Dublin Airport,17.8,6.3,0,10.8,24,12.9
22,jun,2018,Dublin Airport,18.9,3.8,0,7.2,18,15.6
23,jun,2018,Dublin Airport,19.8,6.5,0,7.2,17,14.4
24,jun,2018,Dublin Airport,22.4,5.8,0,6.5,19,15.6
25,jun,2018,Dublin Airport,24.5,11.8,0,7.2,15,12.5
26,jun,2018,Dublin Airport,23.7,8,0,5.8,14,11.3
27,jun,2018,Dublin Airport,26.5,10.1,0,6.5,15,13.8
28,jun,2018,Dublin Airport,26.2,9,0,6.5,19,15.9
29,jun,2018,Dublin Airport,23.3,10.1,0,7.2,20,15.8
30,jun,2018,Dublin Airport,20.1,9.8,0,8,20,15.5
1,jul,2018,Dublin Airport,23,8.5,0,8.2,21,14
2,jul,2018,Dublin Airport,22.3,7.9,0,9.7,22,15.8
3,jul,2018,Dublin Airport,21.4,8.2,0,8.7,21,15.8
4,jul,2018,Dublin Airport,24.2,7.8,0,6.7,17,14.6
5,jul,2018,Dublin Airport,20.4,12.4,0,7.7,17,7.2
6,jul,2018,Dublin Airport,22.7,11.7,0,5.3,13,3.7
7,jul,2018,Dublin Airport,23.3,11,0,6.5,16,11.4
8,jul,2018,Dublin Airport,25.1,10.2,0,5.4,14,4.6
9,jul,2018,Dublin Airport,21.6,8.8,0,5.7,17,7
10,jul,2018,Dublin Airport,21.1,5.2,0,6.6,19,15.3
11,jul,2018,Dublin Airport,18.6,9.8,0,5.5,13,1.3
12,jul,2018,Dublin Airport,18,13.2,0,6,14,0
13,jul,2018,Dublin Airport,20.6,9.6,0,4.6,14,3.5
14,jul,2018,Dublin Airport,25.7,8.7,0,6.2,20,12.1
15,jul,2018,Dublin Airport,18.8,14.4,3.9,6,21,0
16,jul,2018,Dublin Airport,20.2,12.6,0,5.8,23,1.4
17,jul,2018,Dublin Airport,19.8,12.3,0,6,17,2.1
18,jul,2018,Dublin Airport,21,10.1,0,5.9,14,2.3
19,jul,2018,Dublin Airport,21.8,7,0,6,17,9.3
20,jul,2018,Dublin Airport,19.5,12.3,11,7.1,17,0.1
21,jul,2018,Dublin Airport,21.1,10.9,0,7.5,18,0.1
22,jul,2018,Dublin Airport,26.4,15.5,0,7.6,20,2.1
23,jul,2018,Dublin Airport,26.7,14.9,0.9,6.7,20,3.2
24,jul,2018,Dublin Airport,21.8,10.6,0,6.3,19,2.8
25,jul,2018,Dublin Airport,23.1,10.9,0,6.8,20,13.3
26,jul,2018,Dublin Airport,25.9,7.8,0,8.8,23,11.7
27,jul,2018,Dublin Airport,21,15.2,1.9,7.9,20,0.7
28,jul,2018,Dublin Airport,16.4,7.8,14.4,8.8,28,2.3
29,jul,2018,Dublin Airport,19.3,7.7,5.6,7.5,20,0.8
30,jul,2018,Dublin Airport,20.5,11.4,2.3,6.6,22,3.3
31,jul,2018,Dublin Airport,19.8,10.4,0,9.9,26,0.7
1,aug,2018,Dublin Airport,18.5,11.9,5.8,8.2,29,0.8
2,aug,2018,Dublin Airport,24.5,17,0.2,6.4,20,2.4
3,aug,2018,Dublin Airport,24,14.4,0.7,6.7,17,6.2
4,aug,2018,Dublin Airport,21.6,12,0,5.1,16,6.2
5,aug,2018,Dublin Airport,24.2,12.1,0,5.1,19,3.8
6,aug,2018,Dublin Airport,22.6,13.9,0.6,6.9,17,0.7
7,aug,2018,Dublin Airport,18.1,11.5,0,7.3,19,4
8,aug,2018,Dublin Airport,19.6,10.2,0.1,9.6,25,6.6
9,aug,2018,Dublin Airport,18.6,7.8,0,7.3,20,7.9
10,aug,2018,Dublin Airport,18.7,6.5,0,8,26,7.6
11,aug,2018,Dublin Airport,18.5,3.9,0.1,6.6,24,3
12,aug,2018,Dublin Airport,19.9,15.2,2.1,4.4,12,0.2
13,aug,2018,Dublin Airport,19.2,13.1,0.2,8.9,19,2.9
14,aug,2018,Dublin Airport,21.6,14.4,0,9.7,29,3.6
15,aug,2018,Dublin Airport,23.2,12.8,1.4,10.2,31,4.1
16,aug,2018,Dublin Airport,19,10.7,1.4,9.6,26,7.6
17,aug,2018,Dublin Airport,17.2,11.8,2.2,10.4,26,0
18,aug,2018,Dublin Airport,25.1,15.4,1,9.4,25,2.8
19,aug,2018,Dublin Airport,20.8,15.4,0.5,9.5,28,0.8
20,aug,2018,Dublin Airport,20,14.8,2.5,4.3,11,0.4
21,aug,2018,Dublin Airport,24.3,14.3,0,6.2,20,4.5
22,aug,2018,Dublin Airport,19,8.7,1.2,9.5,24,1.9
23,aug,2018,Dublin Airport,17,9.2,4.2,11.1,36,5.3
24,aug,2018,Dublin Airport,15.2,8.2,6.9,11.5,26,6.3
25,aug,2018,Dublin Airport,17.6,6.6,0,8.7,17,7.2
26,aug,2018,Dublin Airport,17.7,10.4,15.6,10.3,32,0.1
27,aug,2018,Dublin Airport,18.5,8.9,0.1,11.5,29,4.7
28,aug,2018,Dublin Airport,17.3,6.8,0.1,6.3,22,0.9
29,aug,2018,Dublin Airport,18.3,5.9,1.1,10.2,24,8.3
30,aug,2018,Dublin Airport,16,5.1,0,4.9,13,3.8
31,aug,2018,Dublin Airport,20.2,3.9,0,8,20,6.9
1,sep,2018,Dublin Airport,20.9,11.8,0.1,4.3,11,4.5
2,sep,2018,Dublin Airport,23,10.4,1.9,6.3,23,4.7
3,sep,2018,Dublin Airport,16.9,6.6,0.2,10.6,23,9
4,sep,2018,Dublin Airport,17.5,4.6,0,7.6,17,8.7
5,sep,2018,Dublin Airport,19.2,4.9,4,7.4,17,4.4
6,sep,2018,Dublin Airport,15.3,5.8,4.1,7.9,23,3.9
7,sep,2018,Dublin Airport,15.6,5.4,0,8.4,21,4.8
8,sep,2018,Dublin Airport,17.8,13,6.2,7.2,22,0.1
9,sep,2018,Dublin Airport,17.7,11.9,0,11.3,30,6.9
10,sep,2018,Dublin Airport,16.6,11.5,0.5,9.8,25,0.1
11,sep,2018,Dublin Airport,16.5,10.6,2.1,9,23,2
12,sep,2018,Dublin Airport,16.9,8.4,0.1,8.7,24,9.6
13,sep,2018,Dublin Airport,16.7,9.2,0,9.1,27,3.3
14,sep,2018,Dublin Airport,16.6,11.1,1.7,9.2,26,3.7
15,sep,2018,Dublin Airport,16.9,10.9,0.9,8.8,29,0.1
16,sep,2018,Dublin Airport,18.7,10.1,2.3,8.9,30,5.6
17,sep,2018,Dublin Airport,20.4,10,0.1,9.8,35,0.2
18,sep,2018,Dublin Airport,21.1,13.6,1.5,12.8,31,6.3
19,sep,2018,Dublin Airport,17.9,10.3,0.9,15.8,56,5.1
20,sep,2018,Dublin Airport,12,6,15.7,8.2,25,0
21,sep,2018,Dublin Airport,14.1,6.1,1,13.7,40,4.8
22,sep,2018,Dublin Airport,11.9,3.4,0,4.6,11,0
23,sep,2018,Dublin Airport,13.3,3.9,0,11,27,9.4
24,sep,2018,Dublin Airport,13.9,3.5,0,7.1,18,7.9
25,sep,2018,Dublin Airport,15.9,0.4,0,9.5,,1.8
26,sep,2018,Dublin Airport,19.5,13.4,0,8.5,25,4.3
27,sep,2018,Dublin Airport,16.6,4.2,0.5,9.4,27,4.9
28,sep,2018,Dublin Airport,13.7,1.5,0,5.9,15,9
29,sep,2018,Dublin Airport,14.8,1.9,0,7.8,21,9.5
30,sep,2018,Dublin Airport,12.8,5.1,0,12,28,1.6
1,oct,2018,Dublin Airport,13.6,3.1,0,10.9,30,4.5
2,oct,2018,Dublin Airport,16.2,11.6,0.6,14.3,29,1.2
3,oct,2018,Dublin Airport,15.9,11.4,0.4,7,20,0.4
4,oct,2018,Dublin Airport,16.6,10.8,5.1,6.8,22,0.6
5,oct,2018,Dublin Airport,11.8,5.2,6.4,7.5,15,0.8
6,oct,2018,Dublin Airport,12.4,1.1,0,8.8,24,7.4
7,oct,2018,Dublin Airport,14.7,2.7,0,10.1,30,0.6
8,oct,2018,Dublin Airport,15.8,12.7,0,12.9,30,0.3
9,oct,2018,Dublin Airport,17.5,13.4,0,14.2,35,9.3
10,oct,2018,Dublin Airport,19.2,12.3,0.2,10.4,26,9.6
11,oct,2018,Dublin Airport,15.8,10.3,0.9,10.1,33,2.4
12,oct,2018,Dublin Airport,16.1,11.2,5.6,14,46,0.3
13,oct,2018,Dublin Airport,13.1,8.5,19.1,7.2,22,0
14,oct,2018,Dublin Airport,12.3,1.5,0.1,4.8,16,7.5
15,oct,2018,Dublin Airport,12.7,1.5,0,5,14,8.4
